PALABRA,CATEGORÍA,TIPO,GENERO,NÚMERO,FUNCIÓN
abierta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
abiertas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
abierto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
abiertos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
abrumador,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
abrumadora,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
abrumadoras,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
abrumadores,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
abrupta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
abruptas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
abrupto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
abruptos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
absoluta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
absolutas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
absoluto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
absolutos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
abstracta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
abstractas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
abstracto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
abstractos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
absurda,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
absurdas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
absurdo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
absurdos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
abundante,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
abundantes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
abundosa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
abundosas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
abundoso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
abundosos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
académica,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
académicas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
académico,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
académicos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
aceptable,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
aceptables,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
acertada,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
acertadas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
acertado,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
acertados,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
ácida,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
ácidas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
ácido,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
ácidos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
activa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
activas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
activo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
activos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
actual,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
actuales,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
acuosa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
acuosas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
acuoso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
acuosos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
adecuada,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
adecuadas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
adecuado,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
adecuados,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
adicional,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
adicionales,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
administrativa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
administrativas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
administrativo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
administrativos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
admirable,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
admirables,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
adolescente,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
