PALABRA,CATEGORÍA,TIPO
a_barlovento,ADVERVIO,GENERAL
a_barrisco,ADVERVIO,GENERAL
a_base_de_bien,ADVERVIO,GENERAL
a_boca_de_cañón,ADVERVIO,GENERAL
a_bocajarro,ADVERVIO,GENERAL
a_bombo_y_platillo,ADVERVIO,GENERAL
a_borbollones,ADVERVIO,GENERAL
a_borbotones,ADVERVIO,GENERAL
a_bordo,ADVERVIO,GENERAL
a_bote_pronto,ADVERVIO,GENERAL
a_brazo_partido,ADVERVIO,GENERAL
a_bruces,ADVERVIO,GENERAL
a_buen_recaudo,ADVERVIO,GENERAL
a_buen_seguro,ADVERVIO,GENERAL
a_buen_tino,ADVERVIO,GENERAL
a_buena_cuenta,ADVERVIO,GENERAL
a_buena_fe,ADVERVIO,GENERAL
a_buena_luz,ADVERVIO,GENERAL
a_buena_vista,ADVERVIO,GENERAL
a_buenas_horas,ADVERVIO,GENERAL
a_buenas_noches,ADVERVIO,GENERAL
a_bulto,ADVERVIO,GENERAL
a_cada_instante,ADVERVIO,GENERAL
a_cada_momento,ADVERVIO,GENERAL
a_cada_paso,ADVERVIO,GENERAL
a_cada_rato,ADVERVIO,GENERAL
a_cada_trique,ADVERVIO,GENERAL
a_cada_triquitraque,ADVERVIO,GENERAL
a_caja_y_espiga,ADVERVIO,GENERAL
a_cal_y_canto,ADVERVIO,GENERAL
a_caliche,ADVERVIO,GENERAL
a_cambio,ADVERVIO,GENERAL
a_campo_raso,ADVERVIO,GENERAL
a_campo_traviesa,ADVERVIO,GENERAL
a_cántaros,ADVERVIO,GENERAL
a_cara_de_perro,ADVERVIO,GENERAL
a_cara_descubierta,ADVERVIO,GENERAL
a_carcajada_limpia,ADVERVIO,GENERAL
a_carretadas,ADVERVIO,GENERAL
a_carta_cabal,ADVERVIO,GENERAL
a_casquete_quitado,ADVERVIO,GENERAL
a_centenares,ADVERVIO,GENERAL
a_cepillo,ADVERVIO,GENERAL
a_cercen,ADVERVIO,GENERAL
a_cercén,ADVERVIO,GENERAL
a_chorros,ADVERVIO,GENERAL
a_cielo_descubierto,ADVERVIO,GENERAL
a_ciencia_cierta,ADVERVIO,GENERAL
a_codazo_limpio,ADVERVIO,GENERAL
a_comisión,ADVERVIO,GENERAL
a_como_de_lugar,ADVERVIO,GENERAL
a_contra_reloj,ADVERVIO,GENERAL
a_contrahílo,ADVERVIO,GENERAL
a_contralecho,ADVERVIO,GENERAL
a_contramano,ADVERVIO,GENERAL
a_contrapelo,ADVERVIO,GENERAL
a_contrapié,ADVERVIO,GENERAL
a_corazón_abierto,ADVERVIO,GENERAL
a_cordel,ADVERVIO,GENERAL
a_coro,ADVERVIO,GENERAL
a_costillas,ADVERVIO,GENERAL
a_coxcojilla,ADVERVIO,GENERAL
a_cruz_y_escuadra,ADVERVIO,GENERAL
a_cuál_más,ADVERVIO,GENERAL
a_cuatro_patas,ADVERVIO,GENERAL
a_cuatro_pies,ADVERVIO,GENERAL
a_cubos,ADVERVIO,GENERAL
a_cuerpo_de_rey,ADVERVIO,GENERAL
a_cuerpo_descubierto,ADVERVIO,GENERAL
a_dentelladas,ADVERVIO,GENERAL
a_dentro,ADVERVIO,GENERAL
a_desmano,ADVERVIO,GENERAL
a_despecho,ADVERVIO,GENERAL
a_destajo,ADVERVIO,GENERAL
a_destiempo,ADVERVIO,GENERAL
a_diario,ADVERVIO,GENERAL
a_dicho_efecto,ADVERVIO,GENERAL
a_disgusto,ADVERVIO,GENERAL
a_donde,ADVERVIO,GENERAL
a_dos_haces,ADVERVIO,GENERAL
a_dos_manos,ADVERVIO,GENERAL
a_dúo,ADVERVIO,GENERAL
a_duras_penas,ADVERVIO,GENERAL
a_empellones,ADVERVIO,GENERAL
a_escape,ADVERVIO,GENERAL
a_escondidas,ADVERVIO,GENERAL
a_escondidillas,ADVERVIO,GENERAL
a_escote,ADVERVIO,GENERAL
a_escuadra,ADVERVIO,GENERAL
a_escusa,ADVERVIO,GENERAL
a_escusas,ADVERVIO,GENERAL
a_espeta_perro,ADVERVIO,GENERAL
