PALABRA,CATEGORÍA,TIPO,GENERO,NUMERO
a,NOMBRE,COMÚN,FEMENINO,SINGULAR
abandono,NOMBRE,COMÚN,MASCULINO,SINGULAR
abandonos,NOMBRE,COMÚN,MASCULINO,PLURAL
abanico,NOMBRE,COMÚN,MASCULINO,SINGULAR
abanicos,NOMBRE,COMÚN,MASCULINO,PLURAL
abastecimiento,NOMBRE,COMÚN,MASCULINO,SINGULAR
abastecimiento_de_agua,NOMBRE,COMÚN,MASCULINO,SINGULAR
abastecimiento_de_agua_potable,NOMBRE,COMÚN,MASCULINO,SINGULAR
abastecimientos,NOMBRE,COMÚN,MASCULINO,PLURAL
abasto,NOMBRE,COMÚN,MASCULINO,SINGULAR
abastos,NOMBRE,COMÚN,MASCULINO,PLURAL
abedul,NOMBRE,COMÚN,MASCULINO,SINGULAR
abedules,NOMBRE,COMÚN,MASCULINO,PLURAL
abeja,NOMBRE,COMÚN,FEMENINO,SINGULAR
abejas,NOMBRE,COMÚN,FEMENINO,PLURAL
abertura,NOMBRE,COMÚN,FEMENINO,SINGULAR
aberturas,NOMBRE,COMÚN,FEMENINO,PLURAL
abismo,NOMBRE,COMÚN,MASCULINO,SINGULAR
abismos,NOMBRE,COMÚN,MASCULINO,PLURAL
abogado,NOMBRE,COMÚN,MASCULINO,SINGULAR
abogado_defensor,NOMBRE,COMÚN,,
abogados,NOMBRE,COMÚN,MASCULINO,PLURAL
aborto,NOMBRE,COMÚN,MASCULINO,SINGULAR
abortos,NOMBRE,COMÚN,MASCULINO,PLURAL
abrazo,NOMBRE,COMÚN,MASCULINO,SINGULAR
abrazos,NOMBRE,COMÚN,MASCULINO,PLURAL
abrigo,NOMBRE,COMÚN,MASCULINO,SINGULAR
abrigos,NOMBRE,COMÚN,MASCULINO,PLURAL
abril,NOMBRE,COMÚN,MASCULINO,SINGULAR
abriles,NOMBRE,COMÚN,MASCULINO,PLURAL
ábside,NOMBRE,COMÚN,MASCULINO,SINGULAR
ábsides,NOMBRE,COMÚN,MASCULINO,PLURAL
absorción,NOMBRE,COMÚN,FEMENINO,SINGULAR
absorciones,NOMBRE,COMÚN,FEMENINO,PLURAL
abstinencia,NOMBRE,COMÚN,FEMENINO,SINGULAR
abstinencias,NOMBRE,COMÚN,FEMENINO,PLURAL
abstracción,NOMBRE,COMÚN,FEMENINO,SINGULAR
abstracciones,NOMBRE,COMÚN,FEMENINO,PLURAL
abuela,NOMBRE,COMÚN,FEMENINO,SINGULAR
abuelas,NOMBRE,COMÚN,FEMENINO,PLURAL
abuelo,NOMBRE,COMÚN,MASCULINO,SINGULAR
abuelos,NOMBRE,COMÚN,MASCULINO,PLURAL
abundancia,NOMBRE,COMÚN,FEMENINO,SINGULAR
abundancias,NOMBRE,COMÚN,FEMENINO,PLURAL
abuso,NOMBRE,COMÚN,MASCULINO,SINGULAR
abusos,NOMBRE,COMÚN,MASCULINO,PLURAL
ac-ft,NOMBRE,COMÚN,MASCULINO,PLURAL
acabamiento,NOMBRE,COMÚN,MASCULINO,SINGULAR
acabamientos,NOMBRE,COMÚN,MASCULINO,PLURAL
acacia,NOMBRE,COMÚN,FEMENINO,SINGULAR
acacias,NOMBRE,COMÚN,FEMENINO,PLURAL
academia,NOMBRE,COMÚN,FEMENINO,SINGULAR
academia_de_bellas_artes,NOMBRE,COMÚN,,
academias,NOMBRE,COMÚN,FEMENINO,PLURAL
acaecimiento,NOMBRE,COMÚN,MASCULINO,SINGULAR
acaecimientos,NOMBRE,COMÚN,MASCULINO,PLURAL
acceso,NOMBRE,COMÚN,MASCULINO,SINGULAR
accesos,NOMBRE,COMÚN,MASCULINO,PLURAL
accidente,NOMBRE,COMÚN,MASCULINO,SINGULAR
accidente_de_trabajo,NOMBRE,COMÚN,,
accidente_laboral,NOMBRE,COMÚN,,
accidentes,NOMBRE,COMÚN,MASCULINO,PLURAL
acción,NOMBRE,COMÚN,FEMENINO,SINGULAR
acción_educativa,NOMBRE,COMÚN,,
acción_militar,NOMBRE,COMÚN,,
acción_pública,NOMBRE,COMÚN,,
acciones,NOMBRE,COMÚN,FEMENINO,PLURAL
aceite,NOMBRE,COMÚN,MASCULINO,SINGULAR
aceite_de_oliva_virgen,NOMBRE,COMÚN,MASCULINO,SINGULAR
aceites,NOMBRE,COMÚN,MASCULINO,PLURAL
acento,NOMBRE,COMÚN,MASCULINO,SINGULAR
acentos,NOMBRE,COMÚN,MASCULINO,PLURAL
aceptación,NOMBRE,COMÚN,FEMENINO,SINGULAR
aceptaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
acequia,NOMBRE,COMÚN,FEMENINO,SINGULAR
acequias,NOMBRE,COMÚN,FEMENINO,PLURAL
acera,NOMBRE,COMÚN,FEMENINO,SINGULAR
aceras,NOMBRE,COMÚN,FEMENINO,PLURAL
acero,NOMBRE,COMÚN,MASCULINO,SINGULAR
aceros,NOMBRE,COMÚN,MASCULINO,PLURAL
acervo,NOMBRE,COMÚN,MASCULINO,SINGULAR
acervos,NOMBRE,COMÚN,MASCULINO,PLURAL
ácido,NOMBRE,COMÚN,MASCULINO,SINGULAR
acido_acético,NOMBRE,COMÚN,MASCULINO,SINGULAR
acido_clorhídrico,NOMBRE,COMÚN,MASCULINO,SINGULAR
ácido_fólico,NOMBRE,COMÚN,MASCULINO,SINGULAR
ácido_láctico,NOMBRE,COMÚN,MASCULINO,SINGULAR
ácido_sulfúrico,NOMBRE,COMÚN,MASCULINO,SINGULAR
ácido_úrico,NOMBRE,COMÚN,MASCULINO,SINGULAR
ácidos,NOMBRE,COMÚN,MASCULINO,PLURAL
acierto,NOMBRE,COMÚN,MASCULINO,SINGULAR
aciertos,NOMBRE,COMÚN,MASCULINO,PLURAL
acompañante,NOMBRE,COMÚN,COMÚN,SINGULAR
acompañantes,NOMBRE,COMÚN,COMÚN,PLURAL
acontecimiento,NOMBRE,COMÚN,MASCULINO,SINGULAR
acontecimientos,NOMBRE,COMÚN,MASCULINO,PLURAL
acre,NOMBRE,COMÚN,MASCULINO,PLURAL
acre_pie,NOMBRE,COMÚN,,
acreedor,NOMBRE,COMÚN,MASCULINO,SINGULAR
acreedores,NOMBRE,COMÚN,MASCULINO,PLURAL
acres,NOMBRE,COMÚN,MASCULINO,PLURAL
acta,NOMBRE,COMÚN,FEMENINO,SINGULAR
acta_de_defunción,NOMBRE,COMÚN,,
acta_de_nacimiento,NOMBRE,COMÚN,,
acta_final,NOMBRE,COMÚN,,
actas,NOMBRE,COMÚN,FEMENINO,PLURAL
actitud,NOMBRE,COMÚN,FEMENINO,SINGULAR
actitudes,NOMBRE,COMÚN,FEMENINO,PLURAL
actividad,NOMBRE,COMÚN,FEMENINO,SINGULAR
actividad_artística,NOMBRE,COMÚN,,
actividad_econímica,NOMBRE,COMÚN,,
actividad_empresarial,NOMBRE,COMÚN,,
actividad_extraescolar,NOMBRE,COMÚN,,
actividad_financiera,NOMBRE,COMÚN,,
actividad_humana,NOMBRE,COMÚN,,
actividad_industrial,NOMBRE,COMÚN,,
actividad_pesquera,NOMBRE,COMÚN,,
actividades,NOMBRE,COMÚN,FEMENINO,PLURAL
actividades_al_aire_libre,NOMBRE,COMÚN,FEMENINO,PLURAL
acto,NOMBRE,COMÚN,MASCULINO,SINGULAR
acto_administrativo,NOMBRE,COMÚN,,
acto_impugnado,NOMBRE,COMÚN,,
acto_jurídico,NOMBRE,COMÚN,,
actor,NOMBRE,COMÚN,MASCULINO,SINGULAR
actores,NOMBRE,COMÚN,MASCULINO,PLURAL
actos,NOMBRE,COMÚN,MASCULINO,PLURAL
actrices,NOMBRE,COMÚN,FEMENINO,PLURAL
actriz,NOMBRE,COMÚN,FEMENINO,SINGULAR
actuación,NOMBRE,COMÚN,FEMENINO,SINGULAR
actuación_administrativa,NOMBRE,COMÚN,,
actuación_judicial,NOMBRE,COMÚN,,
actuaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
actualidad,NOMBRE,COMÚN,FEMENINO,SINGULAR
actualidades,NOMBRE,COMÚN,FEMENINO,PLURAL
acuerdo,NOMBRE,COMÚN,MASCULINO,SINGULAR
acuerdo_de_paz,NOMBRE,COMÚN,,
acuerdo_internacional,NOMBRE,COMÚN,,
acuerdos,NOMBRE,COMÚN,MASCULINO,PLURAL
acumulación,NOMBRE,COMÚN,FEMENINO,SINGULAR
acumulaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
acusación,NOMBRE,COMÚN,FEMENINO,SINGULAR
acusaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
acusado,NOMBRE,COMÚN,MASCULINO,SINGULAR
acusados,NOMBRE,COMÚN,MASCULINO,PLURAL
adaptación,NOMBRE,COMÚN,FEMENINO,SINGULAR
adaptaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
adelanto,NOMBRE,COMÚN,MASCULINO,SINGULAR
adelantos,NOMBRE,COMÚN,MASCULINO,PLURAL
ademán,NOMBRE,COMÚN,MASCULINO,SINGULAR
ademanes,NOMBRE,COMÚN,MASCULINO,PLURAL
