PALABRA,CATEGORÍA,TIPO,PERSONA,GENERO,NÚMERO,CASO
adonde,PRONOMBRE,RELATIVO,,COMÚN,INVARIABLE,
adónde,PRONOMBRE,INTERROGATIVO,,COMÚN,INVARIABLE,
algo,PRONOMBRE,INDEFINIDO,,COMÚN,SINGULAR,
alguien,PRONOMBRE,INDEFINIDO,,COMÚN,SINGULAR,
alguna,PRONOMBRE,INDEFINIDO,,FEMENINO,SINGULAR,
algunas,PRONOMBRE,INDEFINIDO,,FEMENINO,PLURAL,
alguno,PRONOMBRE,INDEFINIDO,,MASCULINO,SINGULAR,
algunos,PRONOMBRE,INDEFINIDO,,MASCULINO,PLURAL,
ambas,PRONOMBRE,INDEFINIDO,,FEMENINO,PLURAL,
ambos,PRONOMBRE,INDEFINIDO,,MASCULINO,PLURAL,
aquel,PRONOMBRE,DEMOSTRATIVO,,MASCULINO,SINGULAR,
aquél,PRONOMBRE,DEMOSTRATIVO,,MASCULINO,SINGULAR,
aquella,PRONOMBRE,DEMOSTRATIVO,,FEMENINO,SINGULAR,
aquélla,PRONOMBRE,DEMOSTRATIVO,,FEMENINO,SINGULAR,
aquellas,PRONOMBRE,DEMOSTRATIVO,,FEMENINO,PLURAL,
aquéllas,PRONOMBRE,DEMOSTRATIVO,,FEMENINO,PLURAL,
aquello,PRONOMBRE,DEMOSTRATIVO,,COMÚN,SINGULAR,
aquellos,PRONOMBRE,DEMOSTRATIVO,,MASCULINO,PLURAL,
aquéllos,PRONOMBRE,DEMOSTRATIVO,,MASCULINO,PLURAL,
bastante,PRONOMBRE,INDEFINIDO,,COMÚN,SINGULAR,
bastantes,PRONOMBRE,INDEFINIDO,,COMÚN,PLURAL,
como,PRONOMBRE,RELATIVO,,COMÚN,INVARIABLE,
cómo,PRONOMBRE,INTERROGATIVO,,COMÚN,INVARIABLE,
conmigo,PRONOMBRE,PERSONAL,PRIMERA,COMÚN,SINGULAR,OBLICUO
consigo,PRONOMBRE,PERSONAL,TERCERA,COMÚN,INVARIABLE,OBLICUO
contigo,PRONOMBRE,PERSONAL,SEGUNDA,COMÚN,SINGULAR,OBLICUO
cual,PRONOMBRE,INDEFINIDO,,COMÚN,SINGULAR,
cual,PRONOMBRE,RELATIVO,,COMÚN,SINGULAR,
cuál,PRONOMBRE,INTERROGATIVO,,COMÚN,SINGULAR,
cuales,PRONOMBRE,RELATIVO,,COMÚN,PLURAL,
cuáles,PRONOMBRE,INTERROGATIVO,,COMÚN,PLURAL,
cualesquiera,PRONOMBRE,INDEFINIDO,,COMÚN,PLURAL,
cualquiera,PRONOMBRE,INDEFINIDO,,COMÚN,SINGULAR,
cuando,PRONOMBRE,RELATIVO,,COMÚN,INVARIABLE,
cuándo,PRONOMBRE,INTERROGATIVO,,COMÚN,INVARIABLE,
cuanta,PRONOMBRE,RELATIVO,,FEMENINO,SINGULAR,
