PALABRA,CATEGORÍA,TIPO,GENERO,NÚMERO
a,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
abandono,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abandonos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
abanico,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abanicos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
abastecimiento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abastecimiento_de_agua,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abastecimiento_de_agua_potable,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abastecimientos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
abasto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abastos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
abedul,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abedules,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
abeja,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
abejas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
abertura,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
aberturas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
abismo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abismos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
abogado,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abogado_defensor,SUSTANTIVO,COMÚN,,
abogados,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
aborto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abortos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
abrazo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abrazos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
abrigo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abrigos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
abril,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abriles,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
ábside,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
ábsides,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
absorción,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
absorciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
abstinencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
abstinencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
abstracción,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
abstracciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
abuela,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
abuelas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
abuelo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abuelos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
abundancia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
abundancias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
abuso,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
abusos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
ac-ft,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
acabamiento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
acabamientos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
acacia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
acacias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
academia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
academia_de_bellas_artes,SUSTANTIVO,COMÚN,,
academias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
acaecimiento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
acaecimientos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
acceso,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
accesos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
accidente,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
accidente_de_trabajo,SUSTANTIVO,COMÚN,,
accidente_laboral,SUSTANTIVO,COMÚN,,
accidentes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
acción,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
acción_educativa,SUSTANTIVO,COMÚN,,
acción_militar,SUSTANTIVO,COMÚN,,
acción_pública,SUSTANTIVO,COMÚN,,
acciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
aceite,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
aceite_de_oliva_virgen,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
aceites,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
acento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
acentos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
aceptación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
aceptaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
acequia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
acequias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
acera,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
aceras,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
acero,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
aceros,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
acervo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
acervos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
ácido,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
acido_acético,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
