PALABRA,CATEGORÍA,TERMINACIÓN,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abañar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
ababillar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abacorar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abadernar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abajar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abalanzar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abalar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abaldonar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abalear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abalizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aballar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abalsamar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abaluartar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abanar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abancalar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abandalizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abanderar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abanderizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abandonar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abanear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abanicar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarajar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abaratar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarbar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarbechar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarbetar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarcar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarcuzar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarloar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abaroñar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarquillar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarracar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarraganar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abarrajar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarrancar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarrenar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
abarrer,VERBO,ER,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abarrotar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abastar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abastardar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abastecer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abastionar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abatanar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abatatar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abatir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abatojar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abdicar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abducir,VERBO,IR,,,,NORECONOCIDO
abebrar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
abejear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abejonear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abejorrear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abeldar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abellacar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abellestar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abemolar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aberenjenar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
aberrar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abestiar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
abestionar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
abetunar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
