PALABRA,CATEGORIA,TIPO,PERSONA,GENERO,NUMERO,NUMERO_POSEEDOR
algún,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
alguna,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
algunas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
alguno,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
algunos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
ambas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
ambos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
aquel,DETERMINANTE,DEMOSTRATIVO,,MASCULINO,SINGULAR,
aquella,DETERMINANTE,DEMOSTRATIVO,,FEMENINO,SINGULAR,
aquellas,DETERMINANTE,DEMOSTRATIVO,,FEMENINO,PLURAL,
aquellos,DETERMINANTE,DEMOSTRATIVO,,MASCULINO,PLURAL,
bastante,DETERMINANTE,INDEFINIDO,,COMÚN,SINGULAR,
bastantes,DETERMINANTE,INDEFINIDO,,COMÚN,PLURAL,
cada,DETERMINANTE,INDEFINIDO,,COMÚN,SINGULAR,
cierta,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
ciertas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
cierto,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
ciertos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
cual,DETERMINANTE,DEMOSTRATIVO,,COMÚN,SINGULAR,
cualesquier,DETERMINANTE,INDEFINIDO,,COMÚN,PLURAL,
cualesquiera,DETERMINANTE,INDEFINIDO,,COMÚN,PLURAL,
cualquier,DETERMINANTE,INDEFINIDO,,COMÚN,SINGULAR,
cualquiera,DETERMINANTE,INDEFINIDO,,COMÚN,SINGULAR,
cuánta,DETERMINANTE,EXCLAMATIVO,,FEMENINO,SINGULAR,
cuanta,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
cuánta,DETERMINANTE,INTERROGATIVO,,FEMENINO,SINGULAR,
cuántas,DETERMINANTE,EXCLAMATIVO,,FEMENINO,PLURAL,
cuantas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
cuántas,DETERMINANTE,INTERROGATIVO,,FEMENINO,PLURAL,
cuánto,DETERMINANTE,EXCLAMATIVO,,MASCULINO,SINGULAR,
cuanto,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
cuánto,DETERMINANTE,INTERROGATIVO,,MASCULINO,SINGULAR,
cuántos,DETERMINANTE,EXCLAMATIVO,,MASCULINO,PLURAL,
cuantos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
cuántos,DETERMINANTE,INTERROGATIVO,,MASCULINO,PLURAL,
demás,DETERMINANTE,INDEFINIDO,,COMÚN,PLURAL,
demasiada,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
demasiadas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
demasiado,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
demasiados,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
diferentes,DETERMINANTE,INDEFINIDO,,COMÚN,PLURAL,
distintas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
distintos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
diversas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
diversos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
el,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
esa,DETERMINANTE,DEMOSTRATIVO,,FEMENINO,SINGULAR,
esas,DETERMINANTE,DEMOSTRATIVO,,FEMENINO,PLURAL,
escasa,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
escasas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
escasísima,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
escasísimas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
escasísimo,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
escasísimos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
escaso,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
escasos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
ese,DETERMINANTE,DEMOSTRATIVO,,MASCULINO,SINGULAR,
esos,DETERMINANTE,DEMOSTRATIVO,,MASCULINO,PLURAL,
esta,DETERMINANTE,DEMOSTRATIVO,,FEMENINO,SINGULAR,
estas,DETERMINANTE,DEMOSTRATIVO,,FEMENINO,PLURAL,
este,DETERMINANTE,DEMOSTRATIVO,,MASCULINO,SINGULAR,
estos,DETERMINANTE,DEMOSTRATIVO,,MASCULINO,PLURAL,
la,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
las,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
lo,DETERMINANTE,INDEFINIDO,,COMÚN,SINGULAR,
los,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
media,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
medias,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
medio,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
medios,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
mi,DETERMINANTE,POSESIVO,PRIMERA,COMÚN,SINGULAR,SINGULAR
mía,DETERMINANTE,POSESIVO,PRIMERA,FEMENINO,SINGULAR,SINGULAR
mías,DETERMINANTE,POSESIVO,PRIMERA,FEMENINO,PLURAL,SINGULAR
mío,DETERMINANTE,POSESIVO,PRIMERA,MASCULINO,SINGULAR,SINGULAR
míos,DETERMINANTE,POSESIVO,PRIMERA,MASCULINO,PLURAL,SINGULAR
mis,DETERMINANTE,POSESIVO,PRIMERA,COMÚN,PLURAL,SINGULAR
misma,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
mismas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
mismísima,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
mismísimas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
mismísimo,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
mismísimos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
mismo,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
mismos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
mucha,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
muchas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
mucho,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
muchos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
ningún,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
ninguna,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
ningunas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
ninguno,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
ningunos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
nuestra,DETERMINANTE,POSESIVO,PRIMERA,FEMENINO,SINGULAR,PLURAL
nuestras,DETERMINANTE,POSESIVO,PRIMERA,FEMENINO,PLURAL,PLURAL
nuestro,DETERMINANTE,POSESIVO,PRIMERA,MASCULINO,SINGULAR,PLURAL
nuestros,DETERMINANTE,POSESIVO,PRIMERA,MASCULINO,PLURAL,PLURAL
otra,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
otras,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
otro,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
otros,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
poca,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
pocas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
poco,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
pocos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
propia,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
propias,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
propio,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
propios,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
qué,DETERMINANTE,EXCLAMATIVO,,COMÚN,INVARIABLE,
qué,DETERMINANTE,INTERROGATIVO,,COMÚN,INVARIABLE,
semejante,DETERMINANTE,DEMOSTRATIVO,,COMÚN,SINGULAR,
semejantes,DETERMINANTE,DEMOSTRATIVO,,COMÚN,PLURAL,
sendas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
sendos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
su,DETERMINANTE,POSESIVO,TERCERA,COMÚN,SINGULAR,INDEFINIDO
sus,DETERMINANTE,POSESIVO,TERCERA,COMÚN,PLURAL,INDEFINIDO
suya,DETERMINANTE,POSESIVO,TERCERA,FEMENINO,SINGULAR,INDEFINIDO
suyas,DETERMINANTE,POSESIVO,TERCERA,FEMENINO,PLURAL,INDEFINIDO
suyo,DETERMINANTE,POSESIVO,TERCERA,MASCULINO,SINGULAR,INDEFINIDO
suyos,DETERMINANTE,POSESIVO,TERCERA,MASCULINO,PLURAL,INDEFINIDO
tal,DETERMINANTE,DEMOSTRATIVO,,COMÚN,SINGULAR,
tales,DETERMINANTE,DEMOSTRATIVO,,COMÚN,PLURAL,
tanta,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
tantas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
tanto,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
tantos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
toda,DETERMINANTE,INDEFINIDO,,FEMENINO,SINGULAR,
todas,DETERMINANTE,INDEFINIDO,,FEMENINO,PLURAL,
todo,DETERMINANTE,INDEFINIDO,,MASCULINO,SINGULAR,
todos,DETERMINANTE,INDEFINIDO,,MASCULINO,PLURAL,
tu,DETERMINANTE,POSESIVO,SEGUNDA,COMÚN,SINGULAR,SINGULAR
tus,DETERMINANTE,POSESIVO,SEGUNDA,COMÚN,PLURAL,SINGULAR
