PALABRA,CATEGORIA,TIPO,GENERO,NUMERO
a,NOMBRE,COMÚN,FEMENINO,INVARIABLE
abandono,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abandonos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abanico,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abanicos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abastecimiento,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abastecimiento_de_agua,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abastecimiento_de_agua_potable,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abastecimientos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abasto,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abastos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abedul,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abedules,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abeja,NOMBRE,COMÚN,FEMENINO,INVARIABLE
abejas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
abertura,NOMBRE,COMÚN,FEMENINO,INVARIABLE
aberturas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
abismo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abismos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abogado,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abogado_defensor,NOMBRE,COMÚN,,
abogados,NOMBRE,COMÚN,MASCULINO,INVARIABLE
aborto,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abortos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abrazo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abrazos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abrigo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abrigos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abril,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abriles,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ábside,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ábsides,NOMBRE,COMÚN,MASCULINO,INVARIABLE
absorción,NOMBRE,COMÚN,FEMENINO,INVARIABLE
absorciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
abstinencia,NOMBRE,COMÚN,FEMENINO,INVARIABLE
abstinencias,NOMBRE,COMÚN,FEMENINO,INVARIABLE
abstracción,NOMBRE,COMÚN,FEMENINO,INVARIABLE
abstracciones,NOMBRE,COMÚN,FEMENINO,INVARIABLE
abuela,NOMBRE,COMÚN,FEMENINO,INVARIABLE
abuelas,NOMBRE,COMÚN,FEMENINO,INVARIABLE
abuelo,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abuelos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abundancia,NOMBRE,COMÚN,FEMENINO,INVARIABLE
abundancias,NOMBRE,COMÚN,FEMENINO,INVARIABLE
abuso,NOMBRE,COMÚN,MASCULINO,INVARIABLE
abusos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
ac-ft,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acabamiento,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acabamientos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acacia,NOMBRE,COMÚN,FEMENINO,INVARIABLE
acacias,NOMBRE,COMÚN,FEMENINO,INVARIABLE
academia,NOMBRE,COMÚN,FEMENINO,INVARIABLE
academia_de_bellas_artes,NOMBRE,COMÚN,,
academias,NOMBRE,COMÚN,FEMENINO,INVARIABLE
acaecimiento,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acaecimientos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acceso,NOMBRE,COMÚN,MASCULINO,INVARIABLE
accesos,NOMBRE,COMÚN,MASCULINO,INVARIABLE
accidente,NOMBRE,COMÚN,MASCULINO,INVARIABLE
accidente_de_trabajo,NOMBRE,COMÚN,,
accidente_laboral,NOMBRE,COMÚN,,
accidentes,NOMBRE,COMÚN,MASCULINO,INVARIABLE
acción,NOMBRE,COMÚN,FEMENINO,INVARIABLE
acción_educativa,NOMBRE,COMÚN,,
